transcript,VHmode,Hmode,Nmode,Lmode
AT1G02470.1,492;643,37;169;380;628;667,411;426;548,
AT1G02470.2,469;620,14;146;357;605;644,388;403;525,
AT1G02475.1,320,583;672;1009,235;442;716;738,39;87;509;586;686;1018;1070
AT1G02490.1,81;200,75;84;119;156;178;266,201,153;157;268
AT1G02500.1,662;793;1043;1132,215;325;471;648;834;926;997;1027;1090;1173;1185;1194;1622,28;128;207;332;581;649;655;779;826;1016;1080;1084;1252;1263;1366;1389;1397;1456;1608,241;297;403;656;738;1009;1039;1137;1158;1165;1177;1279;1309
AT1G02500.2,502;633;883;972,52;165;311;488;674;766;837;867;930;1013;1025;1034;1462,44;126;172;421;489;495;619;666;856;920;924;1092;1103;1206;1229;1237;1296;1448,78;123;137;243;496;578;849;879;977;998;1005;1017;1119;1149
AT1G02510.1,NA,294;300;486;672;734;1057,357;554;636;713,33;140;230;231;458;626;688;888;954
AT1G02520.1,496;1155;2186;2407;2587;2620;2818;3022;3041;3356;3542;3551;3690,164;176;262;332;514;529;547;722;799;805;814;846;967;1103;1135;1186;1329;1378;1463;1645;1691;1695;1831;2165;2182;2206;2312;2592;2875;3016;3091;3211;3217;3492;3559;3697;3835;4035,161;166;343;480;1011;1105;1289;1334;1465;1711;1747;1804;1981;2154;2168;2203;2251;2479;2599;2709;2810;2830;2839;2940;3094;3142;3325;3361;3483;3681;3743;3766;3777;3910,167;671;840;1054;1149;1191;1324;1330;1349;1387;1642;1719;1725;1858;1900;1912;1925;2092;2178;2296;2299;2527;2912;2954;3149;3323;3674;3703;3723;3772
AT1G02520.2,59;530;1189;2220;2441;2621;2654;2852;3056;3075;3390;3576;3585;3724,198;210;296;366;548;563;581;756;833;839;848;880;1001;1137;1169;1220;1363;1412;1497;1679;1725;1729;1865;2199;2216;2240;2346;2626;2909;3050;3125;3245;3251;3526;3593;3731;3869;4069,153;195;200;377;514;1045;1139;1323;1368;1499;1745;1781;1838;2015;2188;2202;2237;2285;2513;2633;2743;2844;2864;2873;2974;3128;3176;3359;3395;3517;3715;3777;3800;3811;3944,201;705;874;1088;1183;1225;1358;1364;1383;1421;1676;1753;1759;1892;1934;1946;1959;2126;2212;2330;2333;2561;2946;2988;3183;3357;3708;3737;3757;3806
AT1G02520.3,394;1053;2084;2305;2485;2518;2716;2920;2939;3254;3440;3449;3588,62;74;160;230;412;427;445;620;697;703;712;744;865;1001;1033;1084;1227;1276;1361;1543;1589;1593;1729;2063;2080;2104;2210;2490;2773;2914;2989;3109;3115;3390;3457;3595;3733;3933,59;64;241;378;909;1003;1187;1232;1363;1609;1645;1702;1879;2052;2066;2101;2149;2377;2497;2607;2708;2728;2737;2838;2992;3040;3223;3259;3381;3579;3641;3664;3675;3808,65;569;738;952;1047;1089;1222;1228;1247;1285;1540;1617;1623;1756;1798;1810;1823;1990;2076;2194;2197;2425;2810;2852;3047;3221;3572;3601;3621;3670
AT1G02530.1,1124;1664;2400;2580;2811;3034;3535;3552,172;184;231;465;691;762;768;774;783;815;1104;1155;1298;1666;1800;1894;2016;2147;2161;2179;2585;2868;3012;3084;3204;3210;3280;3343;3485;3683;3828,151;174;175;301;312;449;458;888;936;980;1072;1258;1303;1342;1347;1356;1555;1601;1671;1680;1688;1827;1950;2305;2472;2706;2749;2823;2832;2933;3015;3135;3318;3354;3424;3476;3674;3736;3903;3928,149;169;640;809;899;1023;1118;1293;1299;1428;1694;1731;1733;1869;2019;2067;2167;2190;2292;2417;2520;2539;2553;2830;2947;3009;3087;3142;3316;3327;3333;3340;3555;3690;3716;3770
AT1G02530.2,1124;1664;2400;2580;2811;3034;3096;3642;3659,172;184;231;465;691;762;768;774;783;815;1104;1155;1298;1666;1800;1894;2016;2147;2161;2179;2585;2868;3012;3191;3311;3317;3387;3450;3592;3790;3935,151;174;175;301;312;449;458;888;936;980;1072;1258;1303;1342;1347;1356;1555;1601;1671;1680;1688;1827;1950;2305;2472;2706;2749;2823;2832;2933;3015;3242;3425;3461;3531;3583;3781;3843;4010;4035,149;169;640;809;899;1023;1118;1293;1299;1428;1694;1731;1733;1869;2019;2067;2167;2190;2292;2417;2520;2539;2553;2830;2947;3009;3127;3194;3249;3423;3434;3440;3447;3662;3797;3823;3877
AT1G02540.1,251;534;832,718;752;780;811,16;352;676;834,20;197;332;584;591;704
AT1G02550.1,NA,279;571;659,141;144;201;476;489;643,138;471;561;585;704
AT1G02560.1,941;964;988;1204,38;197;224;265;667;767;792;847;931,338;461;472;474;564;570;585;649;763;772;801;1098;1415,61;198;204;289;310;475;862;1028;1029;1049
AT1G02570.1,736;770,332;591;704;855,489;686,20;173;406;592;634;695;808;920
AT1G02575.1,696;728,18;109;330;587;768;925,,13;307;484;658;678;765;915
AT1G02580.2,54;563;679;1180,87;245;509;712;806;1174;1482;1629,197;267;576;671;684;1094;1435;1536;1736,709;750;1385;1488;1617
AT1G02580.1,54;563;679;1180,87;245;509;712;806;1174;1482;1629;1819;2023,197;267;576;671;684;1094;1435;1536;1736;1749;1994;2047;2068;2153,709;750;1385;1488;1617;1905;1975;2003;2117
AT1G02590.1,119,56;59;223,265,146;243
AT1G02610.2,291,219;256;679;804;811,263,94;234;251;297;381;702
AT1G02610.1,291,219;256;679;804;811,263,94;234;251;297;381;702
AT1G02610.3,123,89;394;519;526,,417
AT1G02620.1,255;642;734;913,6;339;516;624;789;793;798;888;1121;1305,115;207;228;349;469;484;520;860;891;1010;1090;1122;1181;1299;1353;1355;1356,84;85;442;443;478;480;725;822;845;900;1037;1048;1094;1099;1289;1347
AT1G02630.2,885;949,256;352;638;896;924,708;940;963;1002;1067;1096;1161;1178;1194;1200,308;323;394;431;943;1488
AT1G02630.1,931;1127,302;398;684;1074;1102,754;1118;1141;1180;1245;1274;1339;1356;1372;1378,354;369;440;477;1121;1666
AT1G02640.1,697;703;1248;1576;1759;1927;2139,383;469;502;505;544;550;576;729;780;852;1229;1367;1378;1405;1652;1705;1831;1841;1872;1979;2067;2222;2309;2368;2410;2433;2479,214;295;385;499;560;577;678;698;743;767;786;817;929;932;1261;1350;1392;1401;1434;1484;1536;1714;1772;1825;1902;1928;2082;2323;2474;2480;2486;2739,304;329;332;335;456;494;533;578;768;869;1225;1276;1402;1549;1658;1667;1702;1707;1720;1791;1792;1935;1941;1991;2064;2068;2087;2088;2094;2098;2230;2257;2325;2347;2352;2353;2370;2382;2427;2475;2487;2740
AT1G02650.2,151;627;659;682;756;1653,893;903;981;1225;1241;1336;1378;1401;1587;1647;1725;1728,300;450;562;895;900;1042;1122;1370;1386;1391;1591,283;445;530;683;753;761;905;1050;1238;1266;1396;1596;1616
AT1G02650.1,151;535;567;590;664;1561,801;811;889;1133;1149;1244;1286;1309;1495;1555;1633;1636,208;358;470;803;808;950;1030;1278;1294;1299;1499,191;353;438;591;661;669;813;958;1146;1174;1304;1504;1524
AT1G02660.1,646;1674;1932;1975;2059;2496;2599;2669,408;414;449;611;623;657;831;993;1088;1456;1494;2242;2263;2276;2371;2609,144;156;345;405;469;519;547;591;620;638;738;750;1034;1268;1495;1592;1593;1718;2129;2186;2292;2316;2354;2393;2456;2600;2670,71;395;516;539;744;801;944;1242;1316;1337;1436;1502;1820;1998;2078;2138;2139;2231;2247;2248;2294;2329
AT1G02670.1,419;552;558;592;797;954;1011;1026;1362;1961,129;207;232;340;656;687;695;772;1180;1277;1368;1465;1566;1656;1809;1881;1965;2112;2126,213;216;245;447;898;1519;1537;1767;1798;1855;1934;1972;1987,90;237;337;774;798;1467;1741;1756;1812;1847;1933;1935;1950;1991;2113
AT1G02670.4,557;690;696;730;935;1092;1149;1164;1443;1484;1569,289;397;794;825;833;910;1438;1439;1575;1672;1773;1863,241;302;433;585;1036;1360;1446;1726;1744,294;394;912;936;1364;1411;1674
AT1G02670.3,557;690;696;730;935;1092;1149;1164;1443;1484;1569;2168,289;397;794;825;833;910;1438;1439;1575;1672;1773;1863;2016;2088;2172;2319;2333;2556;2562,241;302;433;585;1036;1360;1446;1726;1744;1974;2005;2062;2141;2179;2194;2430;2435;2445;2488,294;394;912;936;1364;1411;1674;1948;1963;2019;2054;2140;2142;2157;2198;2320;2490;2549;2557
AT1G02670.2,557;690;696;730;935;1092;1149;1164;1443;1484;1569;2168,289;397;794;825;833;910;1438;1439;1575;1672;1773;1863;2016;2088;2172;2401;2415;2638;2644,241;302;433;585;1036;1360;1446;1726;1744;1974;2005;2062;2141;2179;2194;2294;2512;2517;2527;2570,294;394;912;936;1364;1411;1674;1948;1963;2019;2054;2140;2142;2157;2198;2402;2572;2631;2639
AT1G02670.6,318;451;457;491;696;853;910;925;1204;1245;1330;1929,131;239;555;586;594;671;1199;1200;1336;1433;1534;1624;1777;1849;1933;2080;2094,83;144;346;797;1121;1207;1487;1505;1735;1766;1823;1902;1940;1955;2191;2196;2206;2249,136;236;673;697;1125;1172;1435;1709;1724;1780;1815;1901;1903;1918;1959;2081;2251
AT1G02670.5,318;451;457;491;696;853;910;925;1204;1245;1330;1929,131;239;555;586;594;671;1199;1200;1336;1433;1534;1624;1777;1849;1933;2162;2176,83;144;346;797;1121;1207;1487;1505;1735;1766;1823;1902;1940;1955;2055;2273;2278;2288;2331,136;236;673;697;1125;1172;1435;1709;1724;1780;1815;1901;1903;1918;1959;2163;2333
AT1G02670.7,346;479;485;519;724;881;938;953;1289;1888,78;186;583;614;622;699;1107;1204;1295;1392;1493;1583;1736;1808;1892;2039;2053;2276;2282,30;91;222;374;825;1446;1464;1694;1725;1782;1861;1899;1914;2150;2155;2165;2208,83;183;701;725;1394;1668;1683;1739;1774;1860;1862;1877;1918;2040;2210;2269;2277
AT1G02680.1,188,155;158;161;296;367;449;533;578;585;676,152;185;264;454;697;745,267;298;408;573;767
AT1G02690.1,450;691;817;1450;1475;1511;1759;2043,19;348;408;411;436;550;556;682;685;808;877;1069;1237;1378;1382;1505;1625;1787,289;326;341;444;553;693;715;895;946;962;972;1342;1682;1769,305;328;339;342;371;445;481;511;523;563;709;727;832;927;1123;1156;1214;1315;1324;1349;1392;1415;1762
AT1G02690.2,324;565;691;1327;1352;1388;1636;1920,222;282;285;310;424;430;556;559;682;751;946;1114;1255;1259;1382;1502;1664,163;200;215;318;427;567;589;769;820;836;846;1219;1559;1646,179;202;213;216;245;319;355;385;397;437;583;601;706;801;1000;1033;1091;1192;1201;1226;1269;1292;1639
AT1G02700.1,573;818;993;1096,89;253;326;437;570;785;812;980;1048,295;405;507;948;974,188;199;334;402;407;499;662;762;786;793;949;964;975;983;990
AT1G02705.1,NA,329,,
AT1G02710.1,111;118;183;252;261;273,35;90;93;99;108;177;187;213;222;232,8;86;276,18;48;55;60;96
AT1G02720.1,951,266;290;292;522;525;643;715;1048;1352;1488,287;655;1038;1065;1140;1208;1558;1639;1729,528;1067;1105;1135;1274;1436;1573;1581;1646;1726
AT1G02720.2,807;1702;1809,122;146;148;378;381;499;571;904;1208;1344,143;511;894;921;996;1064;1478;1580;1654;2050,384;923;961;991;1130;1292;1569;1725;1946
AT1G02730.1,361;426;772;852;1886;2100;2674;2964;3488;3610;3765,256;368;573;896;933;1045;1081;1088;1164;1620;1664;1791;1857;1893;1950;2106;2239;2343;2446;2450;2680;3045;3232;3333;3492,265;358;432;703;825;994;1024;1029;1247;1521;1545;1577;1585;1604;1631;1784;1887;1989;2039;2199;2379;2383;2430;2701;2782;2844;3427;3480;3498;3563;3706;3778;3787;3886,252;259;787;794;1004;1268;1605;1922;1959;2075;2076;2149;2354;2477;2486;2654;2669;2697;2967;2998;3228;3274;3391;3701;3760
AT1G02740.1,135;826;1035,463;476;542;620;626;784;862;975,114;245;250;286;384;527;558;564;707;923;942;1063;1131;1483,115;207;238;328;385;481;642;917;928;970;980;1008;1058
AT1G02750.1,269;777;882,31,171;205;315;497;803,28;51;797;1020
AT1G02750.2,157;617;722,,59;93;203;643,637
AT1G02770.1,219;304,69;125;161;299;332;734;753;822;951;995;1000;1014;1078,15;262;577;901;1048,126;156;163;192;896;940;1015
AT1G02780.1,194;203;592;625;634,432;583;646;681,168;171;213;247;273;303;403;453;667,394;411;441;663;688;724
AT1G02790.1,131;846;1028;1110;1257;1670,191;275;308;386;444;531;651;1023;1262;1290,104;167;210;213;216;276;465;668;674;815;822;889;942;1001;1210;1215;1248;1299;1304;1658,125;377;420;471;841;927;1035
AT1G02800.1,409;535;1155;1268,368;416;442;901;1334;1609;1637;1717,133;197;635;641;806;819;838;963;976;1024;1089;1126;1178;1262;1403;1507;1526;1736,46;248;608;829;834;1435;1457;1514;1566;1575;1615
AT1G02810.1,373;645;816;1062;1074;1128;1567,724;763;831;985;994;1065;1071;1077;1192;1320;1325;1341;1357;1360;1491;1698;1816;1844,139;367;391;659;677;687;711;817;825;886;988;1033;1038;1099;1125;1245;1326;1352;1398;1464;1488;1626;1759;1811;1812;1929,647;812;832;891;924;961;1079;1093;1206;1293;1321;1362;1486;2066
AT1G02813.1,351,371;528;556,152;254;335;428;460;491;597,425;431;557
AT1G02816.1,878,279;484;512;538;901;1232,412;544;576;622;1050;1472,86;104;179;276
AT1G02820.1,433,339;391;409;502,138;268;367;706,308;380;418;436;471
AT1G02830.1,17,32,18;38;292;372,144;155
AT1G02840.1,162;412;811;870;876;882;894;908;1044,81;156;396;448;489;507;532;570;592;624;699;853;888,243;325;359;434;436;490;504;508;665;810;846;957,201;264;289;361;368;464;466;502;847;858;1465
AT1G02840.4,118;368;767;826;832;838;850;864;1511,37;112;352;404;445;463;488;526;548;580;655;809;844;1179;1380,199;281;315;390;392;446;460;464;621;766;802;913;1068;1124;1203;1228;1237;1255;1263,157;220;245;317;324;420;422;458;803;814;1219;1306;1388;1451
AT1G02840.3,116;366;765;824;830;836;848;862,35;110;350;402;443;461;486;524;546;578;653;807;842;1088;1289,197;279;313;388;390;444;458;462;619;764;800;911;1033;1112;1137;1146;1164;1172,155;218;243;315;322;418;420;456;801;812;1128;1215;1297;1360
AT1G02840.5,60;306;705;764;770;776;788;802;1449,54;290;342;383;401;426;464;486;518;593;747;782;1117;1318,137;219;253;328;330;384;398;402;559;704;740;851;1006;1062;1141;1166;1175;1193;1201,95;158;183;255;262;358;360;396;741;752;1157;1244;1326;1389
AT1G02840.2,21;271;670;729;735;741;753;767;1256,15;255;307;348;366;391;429;451;483;558;712;747;924;1125,102;184;218;293;295;349;363;367;524;669;705;816;869;948;973;982;1000;1008,60;123;148;220;227;323;325;361;706;717;964;1051;1133;1196
AT1G02850.3,470;556,309;341;413;488;644;670;752;838;1035;1094;1268;1568;1735,39;239;297;315;474;517;538;796;1090;1233;1235;1600;1665;1726;1783;2106,53;183;210;245;410;512;795;1058;1100;1270;1334;1399;1669;1756;1827
AT1G02850.2,470;556,309;341;413;488;644;670;752;838;966;1025;1199;1566,39;239;297;315;474;517;538;796;1021;1164;1166;1399;1431;1496;1557;1614;1937,53;183;210;245;410;512;795;989;1031;1201;1265;1330;1500;1587;1658
AT1G02850.1,470;556;944,309;341;413;488;644;670;752;838;1118;1485,39;239;297;315;474;517;538;796;1083;1085;1318;1350;1415;1476;1533;1856,53;183;210;245;410;512;795;950;1120;1184;1249;1419;1506;1577
AT1G02850.5,470;556,309;341;413;488;644;670;752;838;1035;1094;1268;1635,39;239;297;315;474;517;538;796;1090;1233;1235;1468;1500;1565;1626;1683;2006,53;183;210;245;410;512;795;1058;1100;1270;1334;1399;1569;1656;1727
AT1G02850.4,339;425,178;210;282;357;513;539;621;707;904;963;1137;1507,108;166;184;343;386;407;665;959;1102;1104;1337;1369;1426;1437;1498;1555,52;79;114;279;381;664;927;969;1139;1203;1268;1441;1528;1599
AT1G02860.3,251;435;645,637;772,178;370;521;535;778;835;851;887;893,364;639;663;914
AT1G02860.1,251;435;645,637;772;1128;1258;1274,178;370;521;535;778;835;851;887;893;1038;1292;1356,364;639;663;914;1040;1236
AT1G02860.2,251;435;645,637;772;1128;1252;1268,178;370;521;535;778;835;851;887;893;1038;1286;1350,364;639;663;914;1040
AT1G02870.1,116;549,83;561;796,207;225;264;408;448;514,43;89;437;568;593
AT1G02880.5,231;919;1263,132;194;707;862;1082;1409,287;409;587;1031;1445;1601,69;126;200;233;281;517;709;734;874;1054;1294;1328;1564
AT1G02880.1,201;889;1233,107;677;832;1052,257;379;557;1001,44;101;169;203;251;487;679;704;844;1024;1264;1298
AT1G02880.4,217;695;1039,118;180;483;638;858,273;363;807,55;112;186;219;267;293;485;510;650;830;1070;1104
AT1G02880.6,226;722;1066,132;510;665;885,282;390;834,69;126;194;228;276;320;512;537;677;857;1097;1131
AT1G02880.3,305;783;1127,211;571;726;946,361;451;895,148;205;273;307;355;381;573;598;738;918;1158;1192
AT1G02880.2,80;456;934;1278,107;228;260;362;722;877;1097,159;168;255;512;602;1046,356;424;458;506;532;724;749;889;1069;1309;1343
AT1G02890.1,163;293;569;578;783;1280;1721;1942;2100;2684;3047;3117;3212;3218;3602;3909,172;175;296;299;308;323;430;489;530;556;627;649;709;720;825;958;977;1081;1545;1778;1804;1895;1985;2060;2151;2879;3173;3191;3355;3429;3470;3587;3686;3740,160;169;384;422;455;464;646;718;937;1019;1477;1660;1668;1931;1936;2010;2056;2057;2118;2339;2430;2481;2484;2587;2808;2859;2898;3374;3432;3517;3683;3848;3911;4116,334;451;452;509;563;572;579;742;817;899;1084;1503;1722;1754;2063;2346;2373;2505;2539;2643;3163;3187;3206;3423;3680;3681;3880;3888;4096
AT1G02890.2,69;199;475;484;689;1186;1627;1848;2006;2590;2953;3023;3118;3124;3424;3731,78;81;202;205;214;229;336;395;436;462;533;555;615;626;731;864;883;987;1451;1684;1710;1801;1891;1966;2057;2785;3079;3097;3177;3251;3292;3409;3508;3562,66;75;290;328;361;370;552;624;843;925;1383;1566;1574;1837;1842;1916;1962;1963;2024;2245;2336;2387;2390;2493;2714;2765;2804;3196;3254;3339;3505;3670;3733;3938,240;357;358;415;469;478;485;648;723;805;990;1409;1628;1660;1969;2252;2279;2411;2445;2549;3069;3093;3112;3245;3502;3503;3702;3710;3918
AT1G02900.1,289;473,113;226;232;257;334;427,200;238;245;260;284;308;422;433;848,125;274;310;455
AT1G02910.2,76;289;443;564;577;587;1307;1451,70;150;333;437;602;659;694;697;749;1129;1256;1380,20;156;170;739;945;976;1044;1117;1132;1441,144;159;274;379;438;457;781;1250;1374;1427
AT1G02910.1,102;315;469;590;603;613;1251;1395,96;176;359;463;628;685;720;723;775;1155;1200;1324,46;182;196;765;971;1002;1070;1143;1158;1385,170;185;300;405;464;483;807;1194;1318;1371
AT1G02920.1,280;563;575;630;691;946;988,129;559;729,545;751;856;882,461;554;700;865
AT1G02930.1,289;554;581;636;697;957,128;565;735;862,757;888,470;493;560;597;871
AT1G02930.2,190;455;482;537;598;858,109;466;636;763,658;789,371;394;461;498;772
AT1G02940.2,94;612;819,242;373;442;501;672;693;786;807;834;921,582;586;733;764;776,306;380;483;543;544;551;773;775
AT1G02940.3,65;583;790,213;344;413;472;643;664;757;778;805;892,553;557;704;735;747,277;351;454;514;515;522;744;746
AT1G02940.1,6;524;731,154;285;354;413;584;605;698;719;746,494;498;645;676;688,218;292;395;455;456;463;685;687
AT1G02940.4,26;544;751,174;305;374;433;604;625;718;739;766,514;518;665;696;708,238;312;415;475;476;483;705;707
AT1G02950.5,104;728,163;363;401;740,57;138;472;533;593;772;791,97;395;528;656;773
AT1G02950.1,86;710,145;345;383;722,39;120;454;515;575;754;773,79;377;510;638;755
AT1G02950.3,84;708,143;343;381;720,37;118;452;513;573;752;771;822,77;375;508;636;753
AT1G02950.4,84;718,149;353;391;730,37;124;462;523;583;762;781,77;105;385;518;646;763
AT1G02950.2,85;715,150;350;388;727,38;125;459;520;580;759;778,78;106;382;515;643;760
AT1G02960.1,92;636;792,11;68;110;144;153;156;505;697;730;1175;1190;1262;1705,120;141;241;249;316;590;914;1097;1098;1225;1256;1340;1375;1420,12;62;88;99;168;169;325;346;692;847;1005;1133;1270;1445;1647
AT1G02960.4,92;636;792,11;68;110;144;153;156;505;697;730;1175;1190;1262;1270;1359;1899,120;141;241;249;316;590;914;1097;1098;1225;1256;1569;1614,12;62;88;99;168;169;325;346;692;847;1005;1133;1534;1639;1841
AT1G02960.5,92;636;792,11;68;110;144;153;156;505;697;730;1175;1190;1262;1283;1823,120;141;241;249;316;590;914;1097;1098;1225;1256;1493;1538,12;62;88;99;168;169;325;346;692;847;1005;1133;1270;1458;1563;1765
AT1G02960.2,92;636;792,11;68;110;144;153;156;505;697;730;1175;1190;1262;1283;1732,120;141;241;249;316;590;914;1097;1098;1225;1256;1367;1402;1447,12;62;88;99;168;169;325;346;692;847;1005;1133;1270;1472;1674
AT1G02960.6,92;636;792,11;68;110;144;153;156;505;697;730;1175;1190;1262;1270;1359;1808,120;141;241;249;316;590;914;1097;1098;1225;1256;1443;1478;1523,12;62;88;99;168;169;325;346;692;847;1005;1133;1548;1750
AT1G02960.3,92;636;792,11;68;110;144;153;156;505;697;730;1175;1190;1262;1796,120;141;241;249;316;590;914;1097;1098;1225;1256;1466;1511,12;62;88;99;168;169;325;346;692;847;1005;1133;1270;1431;1536;1738
AT1G02965.1,87,13;64;93;114;138;150;244;452,106;135;332;483,110;147;163;257;320;340;353;362
AT1G02970.1,170;1663,134;200;447;659;677;701;825;1172;1178;1722;1797,155;287;363;375;444;459;680;697;862;872;877;915;1261;1293;1546;1575;1597;1686,21;208;426;526;772;846;1269;1491;1552
AT1G02980.1,122;392;582;767;985;1211;1241;1295;1524;2170,98;143;352;539;576;733;1061;1076;1102;1199;1547;1603;1835;1894,338;460;492;649;961;979;1064;1079;1093;1380;1499;1648;1715;1908;1927;2256;2318,376;599;732;784;1107;1108;1426;1532;1747;1784;2056;2265
AT1G02980.2,29;299;489;674;892;1118;1148;1202;1431;2077,50;259;446;483;640;968;983;1009;1106;1454;1510;1742;1801,245;367;399;556;868;886;971;986;1000;1287;1406;1555;1622;1815;1834;2163;2225,283;506;639;691;1014;1015;1333;1439;1654;1691;1963;2172;2376
AT1G02990.4,602;969;1657;1821;2004;2649;2873;3102;3731;4133,167;232;553;615;994;1070;1355;1378;1553;1724;2039;2140;2382;2500;2861;3108;3436;3453;3512;3533;3570;3590;3669;3672;4183;4320,830;992;1142;1166;1244;1300;1442;1827;2116;2369;2717;2834;2854;2876;2948;3039;3072;3367;3636;3905;4073;4155;4377;4466,1190;1528;1829;1870;2209;2237;2855;2903;3212;3572;3593;3743;4007;4040;4054
AT1G02990.5,619;986;1674;1838;2021;2666;2890;3119;3748;4321,184;249;570;632;1011;1087;1372;1395;1570;1741;2056;2157;2399;2517;2878;3125;3453;3470;3529;3550;3587;3607;3686;3689;4371;4508,847;1009;1159;1183;1261;1317;1459;1844;2133;2386;2734;2851;2871;2893;2965;3056;3089;3384;3653;3922;4024;4261;4343;4565;4654,1207;1545;1846;1887;2226;2254;2872;2920;3229;3589;3610;3760;4167;4228;4242
AT1G02990.2,908;1596;1760;1943;2588;2812;3041;3670;4072,114;179;500;554;933;1009;1294;1317;1492;1663;1978;2079;2321;2439;2800;3047;3375;3392;3451;3472;3509;3529;3608;3611;4122;4259,769;931;1081;1105;1183;1239;1381;1766;2055;2308;2656;2773;2793;2815;2887;2978;3011;3306;3575;3844;4012;4094;4316;4405,1129;1467;1768;1809;2148;2176;2794;2842;3151;3511;3532;3682;3946;3979;3993
AT1G02990.1,803;1491;1655;1838;2483;2707;2936;3620;4022,114;179;395;449;828;904;1189;1212;1387;1558;1873;1974;2216;2334;2695;2942;3270;3287;3346;3367;3404;3424;3503;3506;4072;4209,664;826;976;1000;1078;1134;1276;1661;1950;2203;2551;2668;2688;2710;2782;2873;2906;3201;3470;3564;3794;3962;4044;4266;4355,1024;1362;1663;1704;2043;2071;2689;2737;3046;3406;3427;3632;3896;3929;3943
AT1G02990.6,452;819;1507;1671;1854;2499;2723;2952;3581;3983,114;179;403;465;844;920;1205;1228;1403;1574;1889;1990;2232;2350;2711;2958;3286;3303;3362;3383;3420;3440;3519;3522;4033;4170,680;842;992;1016;1094;1150;1292;1677;1966;2219;2567;2684;2704;2726;2798;2889;2922;3217;3486;3755;3923;4005;4227;4316,1040;1378;1679;1720;2059;2087;2705;2753;3062;3422;3443;3593;3857;3890;3904
AT1G02990.3,444;811;1499;1663;1846;2491;2715;2944;3573;3975,114;179;395;457;836;912;1197;1220;1395;1566;1881;1982;2224;2342;2703;2950;3278;3295;3354;3375;3412;3432;3511;3514;4025;4162,672;834;984;1008;1086;1142;1284;1669;1958;2211;2559;2676;2696;2718;2790;2881;2914;3209;3478;3747;3915;3997;4219;4308,1032;1370;1671;1712;2051;2079;2697;2745;3054;3414;3435;3585;3849;3882;3896
AT1G03000.1,44;373;645;1020;1414;2194;2330;2342;2444;2612;2945,300;356;360;381;513;747;861;958;1261;1286;1502;1563;1780;1915;1941;2054;2312;2653;2805;2846;3021,45;220;334;342;646;739;818;1271;1400;1484;1656;1720;1860;1926;1970;2301;2575;2658;2849;2876,206;297;303;321;439;527;560;562;600;753;1417;1504;1587;1630;1964;2090;2223;2336;2345;2532;2654;2732;2777;2807
AT1G03010.1,1041;1891;2135;2140,297;541;547;1768;1969;2050,384;646;1791;1817;1823;1903;2424,1174;1463;1464;1465;1617;1674;1879;1953
AT1G03010.2,764;1614;1858;1863,49;264;270;1491;1692;1773,369;1514;1540;1546;1626;2147,88;94;897;1186;1187;1188;1340;1397;1602;1676
AT1G03010.3,788;1638;1882;1887,131;288;294;1515;1716;1797,393;1538;1564;1570;1650;2171,34;40;921;1210;1211;1212;1364;1421;1626;1700
AT1G03020.1,290,251;259;627,224;366,178;183;203;225;309;372;621
AT1G03030.1,519;826;1073;1180;1409,7;59;90;492;516;558;573;574;626;765;1034;1407,26;33;72;82;119;270;358;513;774;820;1188,8;10;178;187;331;651;767;948;1106
AT1G03030.2,421;728;975;1075;1182;1411;1508,394;418;460;475;476;528;667;936;1409,21;172;260;415;676;722;1190,80;89;233;553;669;850;991;1044;1108
AT1G03040.1,602;669;789;977;1011;1065;1399,314;361;364;403;674;713;873;939;969;984;1071;1238;1326,237;432;656;752;833;853;874;933;935;1038;1285;1392;1393,26;358;406;449;509;514;605;742
AT1G03040.3,577;644;764;1045;1079;1133;1467,289;336;339;378;649;688;848;1007;1037;1052;1139;1306;1394,212;407;631;727;808;828;849;1001;1003;1106;1353;1460;1461,333;381;424;484;489;580;717
AT1G03040.2,595;715;903;937;991;1325,255;302;305;344;600;639;799;865;895;910;997;1164;1252,178;373;582;678;759;779;800;859;861;964;1211;1318;1319,299;347;390;450;455;668
AT1G03050.1,1514;1738,276;533;695;719;786;1310;1335;1389;1462;1470;1639;1648;1687;1728;1732;1752;1812;1972;2000;2177,112;286;498;563;599;649;669;721;728;783;801;845;918;945;1475;1479;1500;1510;1560;1601;1625;1719;1729;1791;1979;1985,90;277;594;710;714;770;897;1126;1135;1284;1290;1494;1515;1525;1593;1682;1689;1744;1764;1822;1824;1922
AT1G03055.1,237,169;351;531;603;652;682,14;295;405;408;469;510;539;575;758;797;803,240;367;474;584;871;904
AT1G03055.2,237,169;351;531;603;652;835,14;295;405;408;469;510;539;575;911;950;956,240;367;474;584;1024;1057
